"id";"relation";"created_at";"updated_at"
1;"Father";"2013-07-04 15:07:22.500422";"2013-07-04 15:07:22.500422"
2;"Mother";"2013-07-04 15:07:22.516047";"2013-07-04 15:07:22.516047"
3;"Brother";"2013-07-04 15:07:22.516047";"2013-07-04 15:07:22.516047"
4;"Sister";"2013-07-04 15:07:22.531672";"2013-07-04 15:07:22.531672"
5;"Husband";"2013-07-04 15:07:22.531672";"2013-07-04 15:07:22.531672"
6;"Wife";"2013-07-04 15:07:22.531672";"2013-07-04 15:07:22.531672"
7;"Daughter";"2013-07-04 15:07:22.531672";"2013-07-04 15:07:22.531672"
8;"Son";"2013-07-04 15:07:22.547298";"2013-07-04 15:07:22.547298"
9;"Friend";"2013-07-04 15:07:22.547298";"2013-07-04 15:07:22.547298"
10;"Other";"2013-07-04 15:07:22.547298";"2013-07-04 15:07:22.547298"
